state,county,tract,NAME.x,TotalPop_12,TotalPopMOE_12,TR_Italian_12,TR_ItalianMOE_12,Census_Tract.x,County.x,State.x,TotalPop_17,TotalPopMOE_17,TR_Italian_17,TR_ItalianMOE_17
36,047,089800,"Census Tract 898, Kings County, New York",1991,267,0,12,Census Tract 898,Kings County,New York,1688,334,5,8
36,047,090000,"Census Tract 900, Kings County, New York",5204,451,43,68,Census Tract 900,Kings County,New York,4830,461,0,11
36,047,090200,"Census Tract 902, Kings County, New York",3764,678,0,12,Census Tract 902,Kings County,New York,3290,604,0,11
36,047,090600,"Census Tract 906, Kings County, New York",3988,349,31,36,Census Tract 906,Kings County,New York,3857,437,0,11
36,047,090800,"Census Tract 908, Kings County, New York",3536,375,11,24,Census Tract 908,Kings County,New York,7094,1609,5,11
36,047,091000,"Census Tract 910, Kings County, New York",5620,799,15,22,Census Tract 910,Kings County,New York,4876,706,19,32
36,047,091200,"Census Tract 912, Kings County, New York",6067,607,76,127,Census Tract 912,Kings County,New York,6039,800,0,16
36,047,091600,"Census Tract 916, Kings County, New York",4062,536,0,12,Census Tract 916,Kings County,New York,4104,488,0,11
36,047,091800,"Census Tract 918, Kings County, New York",2788,232,0,12,Census Tract 918,Kings County,New York,2531,405,0,11
36,047,092000,"Census Tract 920, Kings County, New York",2972,379,11,18,Census Tract 920,Kings County,New York,3083,347,29,48
36,047,092200,"Census Tract 922, Kings County, New York",2499,326,21,33,Census Tract 922,Kings County,New York,2578,335,0,11
36,047,092400,"Census Tract 924, Kings County, New York",2912,492,0,12,Census Tract 924,Kings County,New York,2906,484,0,11
36,047,092800,"Census Tract 928, Kings County, New York",2680,351,9,14,Census Tract 928,Kings County,New York,3136,357,1,3
36,047,093000,"Census Tract 930, Kings County, New York",2457,316,0,12,Census Tract 930,Kings County,New York,2808,336,1,2
36,047,093200,"Census Tract 932, Kings County, New York",1310,194,0,12,Census Tract 932,Kings County,New York,1201,192,21,22
36,047,093400,"Census Tract 934, Kings County, New York",2561,277,0,12,Census Tract 934,Kings County,New York,2281,237,0,11
36,047,093600,"Census Tract 936, Kings County, New York",2106,278,0,12,Census Tract 936,Kings County,New York,1832,238,0,11
36,047,093800,"Census Tract 938, Kings County, New York",2051,319,0,12,Census Tract 938,Kings County,New York,2383,281,0,11
36,047,094401,"Census Tract 944.01, Kings County, New York",3300,325,28,44,Census Tract 944.01,Kings County,New York,4149,423,0,11
36,047,094402,"Census Tract 944.02, Kings County, New York",2823,299,50,60,Census Tract 944.02,Kings County,New York,3071,371,0,11
